molecule,frequency,spw_file_number,channel_start,channel_end
CH2CO, 224327.250, 15, 1212, 1224
g-CH3CH2OH, 243120.317, 20, 1543, 1558
t-CH3CH2OH, 234255.161, 8, 771, 781
CH3CHO, 226592.725, 16, 1074, 1085
CH3CHO, 234825.872, 8, 1280, 1295
CH3CHO, 244789.251, 21, 799, 808
CH3CHO, 244832.176, 21, 760, 771
CH3CN, 220679.287, 5, 896, 910
CH3CN, 220709.017, 5, 871, 881
CH3CN, 220730.261, 5, 852, 863
CH3CN, 239064.299, 10, 1493, 1507
CH3CN, 239096.497, 10, 1523, 1537
CH3CN, 239119.505, 10, 1544, 1556
CH3CN, 239137.917, 10, 1556, 1571
CH3OCHO, 216966.246, 3, 639, 653
CH3OCHO, 227563.734, 17, 1896, 1910
CH3OH, 213427.061, 1, 226, 241
CH3OH, 217299.205, 3, 341, 353
CH3OH, 220078.561, 5, 1434, 1447
CH3OH, 227814.528, 17, 1670, 1682
CH3OH, 229589.056, 6, 174, 187
CH3OH, 231281.110, 6, 1687, 1700
CH3OH, 232945.797, 7, 658, 670
CH3OH, 234683.370, 8, 1154, 1165
CH3OH, 234698.519, 8, 1167, 1181
CH3OH, 236936.089, 9, 665, 679
CH3OH, 239746.219, 11, 1729, 1743
CH3OH, 240241.490, 11, 1288, 1298
CH3OH, 240960.557, 11, 645, 657
CH3OH, 241813.255, 20, 377, 386
CH3OH, 241843.604, 20, 402, 413
CH3OH, 241852.299, 20, 411, 421
CH3OH, 243915.788, 21, 1579, 1591
CH3OH, 247161.950, 22, 1582, 1595
CH3OH, 247228.587, 22, 1642, 1653
CH3OH, 248885.468, 23, 712, 723
CH3OH, 249419.924, 23, 234, 245
CS, 244935.644, 21, 667, 681                 
H132CO, 219908.525, 5, 1589, 1600         
H2CO, 211211.468, 0, 1624, 1638              
H2CO, 218475.632, 4, 967, 977         
H2CO, 218760.066, 4, 1221, 1233
H2CO, 225697.775, 16, 270, 283              
H2CS, 236726.770, 9, 854, 865           
H2CS, 240266.320, 11, 1265, 1279        
H2CS, 244047.840, 21, 1461, 1473
HCCCN, 236512.777, 9, 1043, 1059             
HCCCN, 245606.308, 21, 66, 81
HCOOH, 236717.326, 9, 863, 874
HCOOH, 246106.087, 22, 638, 650
HNCO, 218981.031, 4, 1420, 1432
HNCO, 219798.247, 5, 1686, 1697
HNCO, 220585.200, 5, 982, 994
HNCO, 240875.856, 11, 716, 734
OCS, 231060.983, 6, 1491, 1503
OCS, 243218.040, 20, 1634, 1644
SO, 215220.653, 2, 1631, 1646
SO, 219949.442, 5, 1548, 1566
SO2, 221965.210, 14, 508, 523
SO2, 224264.811, 15, 1268, 1281
SO2, 225153.702, 15, 471, 487
SO2, 226300.027, 16, 808, 825
SO2, 235151.720, 8, 1572, 1584
SO2, 236216.685, 9, 1309, 1323
SO2, 237068.870, 9, 548, 560
SO2, 241615.798, 11, 58, 72
SO2, 244254.218, 21, 1278, 1292
SO2, 245563.423, 21, 104, 118
CH3CN_blend, 220743.011, 5, 835, 852
CH3OH_blend, 241206.035, 11, 427, 436
CH3OH_blend, 248282.424, 23, 1252, 1262
CH3CHO_blend, 235996.212, 9, 1508, 1519
CH3OCH3_blend, 240978.250, 11, 620, 633
CH3OCH3_blend, 241946.201, 20, 495, 505
CH3OH_blend, 241806.525, 20, 371, 379
CH3OH_blend, 241832.718, 20, 391, 405
CH3OH_blend, 241904.147, 20, 457, 469










